"","pos_date","valg","wc","Navn","Parti","Statement","year"
"131",2000-06-16,1997,282,"Børge Brende ","H","I en replikkrunde tidligere komSenterpartiets Odd Roger Enoksen med en oppsiktsvekkende avgrensning av forslaget om avskaffelse av formuesskatt på arbeidende kapital; det er bare ikke-børsnoterteselskaper som skal unntas fra denne særnorske beskatningen. Det var nytt for meg, og det er nytt i forhold tildet svarbrevet vi fikk fra finansministeren, som faktiskhadde beregnet det slik at også formuesskatten for arbeidende kapital skulle avskaffes for børsnoterte selskaper.Det er ganske vanskelig å foreta en god avgrensning der,for eier man en masse børsnoterte aksjer, kan man selvsagt legge dem inn i et ikke-børsnotert selskap etterpå. Men grunnen til at jeg ønsker å ta opp dette med representanten Terje Johansen er at dette blir en meget viktig debatt fremover, for finansministeren får trolig i løpetav kvelden et konstitusjonelt bindende pålegg om at han istatsbudsjettet skal foreslå en avskaffelse av formuesskatten på arbeidende kapital. I løpet av dagen er detimidlertid skapt uklarhet fra sentrums side om hva det ersom ligger i begrepet arbeidende kapital. Skal finansministeren bare gå inn for de ikke-børsnoterte selskapene,eller skal han også ta med de børsnoterte selskapene? Detmå sentrum avklare i løpet av dagen for at finansministeren skal ha et greit utgangspunkt for sitt arbeid. Etter mitt syn er det slik at kapital også arbeider omden er i børsnoterte selskaper. Er det slik at dersom etselskap går veldig bra, trenger mer kapital og skal børsnoteres, slipper eierne formuesskatt når selskapet ikke erbørsnotert, men må betale formuesskatt når det blir børsnotert, som f.eks. Rieber-konsernet i sin tid? Det kan joikke være fornuftig. Men kjenner jeg Terje Johansen rett,greier vel han å oppklare dette, slik at vi får et klart signal om hva finansministeren skal arbeide med",2000
"132",2000-06-16,1997,89,"Terje Johansen ","V","Jeg takker for tilliten.Jeg kan i hvert fall si så mye som at det faktisk ikke erformuesskatt på AS-er. Det er ingen aksjeselskaper,børsnoterte sådanne, som betaler formuesskatt. Og vihar ikke snakket om at det er de som eier aksjene, somskal fritas for formuesskatt, vi har snakket om arbeidendekapital i bedrifter. Men jeg forstår på representantenBrendes spørsmål at dette er enda vanskeligere for noenenn jeg hadde trodd, og det betyr at jeg ser fram til denutgreiing som jeg mener må ledsage gjennomføringen avforslaget i neste års budsjett",2000
"133",2000-06-16,1997,3,"Presidenten","Stortinget","Replikkordskiftet er omme",2000
"134",2000-06-16,1997,559,"Signe Øye ","Ap","Revidert er snart i havn uten noenform for dramatikk, og ganske snart kan Stortinget ta ferie.Det er likevel grunn til å spørre om hvilke motiversentrumspartiene hadde for ikke å gå inn i reelle forhandlinger med Arbeiderpartiet om revidert budsjett. Vi serav innstillingen at avstanden mellom sentrumspartienesog Arbeiderpartiets opplegg bare er i overkant av 1 milliard kr på utgiftssiden. Holder vi arbeidsgiverperioden,kontantstøtten og barnetrygden utenom, hvor alle vissteat det var et borgerlig flertall, er avstanden minimal. Derfor må ønsket om ikke å samarbeide med Arbeiderpartietha vært sterkere enn ønsket om å få igjennom sin egenpolitikk. Jeg nevner f.eks. økte bevilgninger til bistand.Det er bare å konstatere at viljen fra sentrumspartieneikke var til stede.Alle er vel enig i at revidert budsjett ikke skal være ethelt nytt budsjett og innebære en helt ny politikk. Derforer det helt uforståelig for Arbeiderpartiet at sentrumspartiene kutter 3 000 tiltaksplasser og 340 stillinger i A-etaten, og at de et halvt år etter at de inngikk en budsjettavtale med Arbeiderpartiet om 2000-budsjettet, løper frasine forpliktelser overfor de arbeidsledige. De langtidsledige, yrkeshemmede, sosialhjelpsmottakere og innvandrere må nå være med på å betale regningen for de utgifter som Stoltenberg-regjeringen har vært nødt til å dekkeinn i revidert budsjett. Denne uken har Stortinget også behandlet utjamningsmeldingen. I meldingen slås det ganske klart fast at destørste skillene i dagens Norge går mellom dem som er ijobb, og dem som faller utenfor arbeidsmarkedet, for faller man utenfor arbeidsmarkedet, faller man utenfor detmeste. Da blir det ganske påfallende at sentrumspartieneden ene dagen går inn for en rekke tiltak for å få flerefolk i arbeid, mens de et par dager etterpå kutter i arbeidsmarkedstiltakene og i bemanningen i A-etaten, i devirkemidlene som gjør at vi virkelig kan få flere i arbeid.Et kutt på 340 stillinger i år vil også bety nedleggelse avmange arbeidskontor, spesielt i distriktene. Er det dettesom er god distriktspolitikk? Arbeiderpartiet mener det var riktig å styrke pasientbehandlingen ved fylkessykehusene med 520 mill. kristedenfor å la penger til sykehusutstyr stå ubrukt i inneværende år. Det betyr ikke at planen for sykehusutstyr utvides eller forlenges. Utstyrsplanen følges som planlagtog avsluttes i år 2003, slik det var forutsatt. Det er ogsåviktig at 220 mill. kr av disse pengene går til fylkeskommunenes rammetilskudd, slik at fylkeskommunene gismidler til å dekke sine egenandeler.200016. juni – Revidert nasjonalbudsjett m.m.3815I går hadde vi debatt om kommuneøkonomien for2001, og svært mye av debatten gikk på den vedtatte eldreplanen. I innstillingen til kommuneøkonomiproposisjonen ber et flertall, som også inkluderer sentrumspartiene, om at reformen skal videreføres uten innskrenkninger. Arbeiderpartiet er enig i at eldresatsingen skal gåsom planlagt, og at det skal bygges 5 800 nye sykehjemsplasser og omsorgsboliger i år. Da blir det et paradoks atsentrumspartiene i henhold til NTB den 3. juni i år villekutte i eldreplanen i inneværende år med 200 mill. kr,noe som ville betydd et drastisk kutt i antall omsorgsboliger eller sykehjemsplasser i inneværende år. Det er derfor grunn til å spørre sentrumspartiene, som for barenoen uker siden kom ut av regjeringskontorene, om eldrereformen har vært helt ute av kontroll og styring.Arbeiderpartiet synes det er bra at SNDs tapsfond ogprosjektutviklingsfond får til sammen 20 mill. kr mer etter behandlingen i Stortinget, slik at også de fylker somhar liten tilgang til distriktsvirkemidler, får midler til åutføre de oppgavene de er pålagt resten av året",2000
"135",2000-06-16,1997,1149,"Steinar Bastesen ","TF","Jeg vil her slå fast at Norge eren kystnasjon, selv om revidert budsjett ikke bærer pregav det. Det er noen få hederlige unntak i budsjettet. Vi klartef.eks. å bevare refusjonsordningen for sjøfolk, men dessverre er den spist opp av CO2 -avgift. CO2 -avgiften eren skatt, og skatt er skatt enten den er rød, blå ellergrønn. Rent personlig synes jeg de grønne skattene erverst, for de lurer folk. NOR-flåten, altså den norskregistrerte kystfrakteflåten, er med vedtak som blir gjort i dagi Stortinget, ferdig. Den er konkurs eller flagget ut, så deter slutt. Det er kun en veldig kortsiktig utsettelse med refusjonsordningen.Det er en annen merkverdighet jeg vil peke på akkurati den forbindelse. Kystfrakteflåten må betale losavgift,mens passasjerfartøy på kysten ikke betaler losavgift.Forstå det den som kan! Det er flere hundre tusen kroneri ekstra utgifter for en flåte som er pint ned av grønneskatter og høye lønninger, i konkurranse med utenlandske fartøy som seiler på kysten med utlendinger sommannskap og kanskje en norsk skipper, men ikke nødvendigvis, for de får farledsbevis og kan seile på kysten.NIS-flåten kan ikke seile på kysten på samme måte. Deter merkverdig – det er underlig at dette går an! Vi leggerned norsk fraktenæring og overlater den til utlendinger.Fjerning av sjømannsfradraget for loser har ført tilkaos for cruiseflåten som kommer til Norge. Det er kaos!De nekter å arbeide overtid, og jeg forstår dem godt. Åmiste 30 000-40 000 kr i inntekt er betydningsfullt.Hvem ville ha akseptert det? Jeg tror ingen i denne salenville akseptert å få lønnen sin vesentlig redusert, slik losene har fått. Men det løses galant med dispensasjon fralosforskriftene, så her er det bare å seile fritt inn og ut avnorske fjorder for utenlandske cruisefartøy. Hva slagssikkerhet er dette? – Dette er også en del av dette budsjettet.Budsjettet bærer ikke preg av at vi har en maritim næring og er en kystnasjon. Havneinvesteringene manglerdet penger til. Vi har fått en liten merknad i budsjettet deren enstemmig komite ber om at farledene nå må prioriteres og få bedre oppmerking, også tverrforbindelsen mellom ytre og indre hovedleder. Det er positivt, og jeg gårut fra at Regjeringen tar det ad notam og kommer frammed en plan i forbindelse med ordinært budsjett, som vihar bedt om.For øvrig er det ikke stor satsing på maritime næringer. Vi bruker ikke vår økonomiske handlefrihet til bygging av samfunnet og investering i framtiden for bedre åivareta langsiktig planlegging og for bedre utnyttelse avvåre naturressurser.Det er etter min oppfatning feil å plassere Norgesoverskudd i utlandet i usikre papirer som er helt avhengig av børskonjunkturene. Jeg har skrevet en merknad om Stad-tunnelen for å sikre tryggere ferdsel på kysten forbi Stad. Det er bare etteksempel. Det er mange slike prosjekter, både veier oghavneutbygginger, som kunne vært brukt for å bygge oppfor framtiden, for å investere i våre naturressurser. Menvi er mer opptatt av å selge naturressurser – bit for bit.Alt skal omgjøres i penger – akkurat som vi ikke har penger nok. Vi kan jo ikke bruke de pengene her i Norge!Hva skal vi investere alle de pengene i? Jo, vi sender demtil utlandet, vi kan ikke ha dem her! Vi selger banker, viselger oppdrettsselskap, vi selger fiskeriselskap medkvoter, kraftselskap, vannkraft, mineralressurser, verftsindustri og industribedrifter generelt – og arbeidsplasser.Selg det! Få det omgjort til penger! Hva skal vi brukepengene til? De sender vi også til utlandet.Statlig og offentlig eierskap behøver ikke å bety dårligeierskap. Det er et spørsmål om å opptre som profesjonelle eiere. Det er et spørsmål om å ha profesjonelle styrer. Slutt å velge politikere inn i de statlige og offentligeeierbedriftene! Få inn profesjonelle folk som vet hva detdreier seg om, næringslivsfolk i stedet for å velge politikere, som stort sett har gått lærerhøyskolen. Det er stortsett der de fleste har gått, og så kommer de inn i styreneog skal utøve profesjonelt eierskap i industribedrifter.Det går jo ikke – det ser vi jo gang på gang!Jeg snakket i går litt om patentdirektivet. Det er et ekstremt frekt forsøk på å få kontroll med maten vår! Jegsnakket litt om det i går. Det er utrolig at folk greier åvære så utrolig frekke. Og det verste er at det holder på åskje uten politisk debatt. Statsministeren og den tidligerestatsministeren, han som nå er utenriksminister, går innfor at dette skal skje. Det eneste landet i Europa som protesterer, er Holland. Det blir et tankekors for meg når desamme organisasjonene som slåss imot – ikke alle avdem, men «protestindustrien» generelt – samtidig slåssfor å få hånd om og frede mesteparten av ressursene i havet, som er ren mat. Det er et tankekors. Kan det være enforbindelse mellom dem og de som står bak og får kontroll med maten som produseres i land? Jeg bare kasterfram tanken.Jeg har fremmet et forslag om å kutte 29,5 mill. krsom brukes til å sende penger til IUCN og WWF, somkonsekvent motarbeider norsk ressursforvaltning. Det ergreit at det dreier seg om hval når vi er i utlandet, og det381616. juni – Revidert nasjonalbudsjett m.m.2000det henvises til, men det dreier seg ikke bare om det. Dehar hatt kampanjer på gang mot vanlig fiskeri, vanligtrålfiske, vanlig garnfiske, internasjonalt. Og til dette girvi 29,5 mill. kr! Forstå det den som kan! Jeg har forslag ibudsjettet om å kutte det, og jeg håper at det er enkeltesom kan være med på det. Vi er i ferd med å miste kontrollen over vårt eget land. I Odelstinget for et par kvelder siden besluttet vi at andre EØS-land kan innvilge visum for å reise inn i Norge. Der Norge ikke har representasjon, skal andre EØS-land kunne utstede visum til utlendinger som vil til Norge. La oss se det i sammenhengmed arbeidsdirektørens forslag om 40 000 nye innvandrere hvert år. Vi snakker ikke om 40 000, vi snakker om200 000–300 000, inklusiv familien, for hvert år i ti år.Hva da? Det er for å skape arbeidskraft. Ja vel! De samme menneskene vil kreve flere arbeidsplasser, barnehager, skoler, norskopplæring, morsmålsopplæring, sosialeytelser, boliger, helsevern, sykehus, politi- og ordensmakt, og etter hvert eldreomsorg. Hva skal vi gjøre med våre vernepliktige soldater somikke skal i militæret? Ungdommen skal ikke i militæretlenger, men hva skal de gjøre? Vi skal redusere tilbudettil de unge som ikke avtjener verneplikten, hva skal de dabrukes til? Og hva med våre uføretrygdede som gjerneskulle ha kommet seg i arbeid, slik som jeg sa for noendager siden? Vi må ikke stille oss i en slik situasjon at Norge misterkontrollen over vår industri og våre naturressurser. Distriktene er fraflyttet, helsevesen, omsorgssektor, undervisningssystem og politi fungerer dårlig, Forsvaret svekkes, og sunn mat er mangelvare. Det hjelper lite å ha penger i utlandet hvis vi er husmenn i vårt eget land. Jeg tar opp forslagene mine, som er referert i innstillingen. K j e l l E n g e b r e t s e n hadde her tatt overpresidentplassen",2000
"136",2000-06-16,1997,9,"Presidenten","Stortinget","Representanten Bastesen har tatt opp deforslagene han refererte til",2000
"137",2000-06-16,1997,765,"Kenneth Svendsen ","FrP","Det er forunderlig at hvergang en avgift skal reduseres, kreves det kompliserte utredninger, vurderinger og lang behandlingstid, derimotnår det gjelder å øke avgiftene, klarer flertallet i Stortinget å gjøre dette over natten og uten begrunnelse. Nå haralle partiene på Stortinget, selvfølgelig med unntak avFremskrittspartiet, bestemt seg for å øke omregistreringsavgiften på personbiler med 10 pst., uten begrunnelse oguten lange vurderinger – når det gjelder hvor mye bilistene skal betale til det norske samfunn, er det ingen grenser.Når Fremskrittspartiet foreslår å senke bensinavgiftenmed 1,50 kr fordi prisene i markedet har eksplodert og erover 12 kr pr. liter i enkelte deler av landet, da rister deøvrige partiene, inklusiv Høyre, oppgitt på hodet og synes tydeligvis avgiftsnivået på bensin er passelig for verdens rikeste land som produserer oljen selv.Den gledelige nyheten mener de øvrige partiene i salen er en reduksjon i dieselavgiften med 20 øre pr. liter.Jeg synes ærlig talt at en reduksjon med 20 øre pr. literikke er så imponerende, spesielt når vi vet at for fem måneder siden økte de samme partiene, med unntak av Høyre, den samme dieselavgiften med 25 øre. For meg blirdet slik at når man først øker avgiften med 25 øre, for såå komme med den gledelige nyheten at den samme avgiften skal reduseres med 20 øre, hopper ikke jeg i taketav glede, enkelt og greit fordi det fremdeles blir en økning i dieselavgiften for 2000 med 5 øre, og det er ikkegledelig, spesielt når det burde vært en reduksjon på 2 krpr. liter, slik at vi kom på linje med Sverige og Danmark.Jeg hadde håpet at debatten i dag skulle kunne gi megsvar på hvorfor det er slik at når nasjonen Norge tjenergrovt på høy oljepris, så skal befolkningen lide gjennomskyhøye bensin- og dieselpriser. Det burde vært kurantfor Stortinget å gjøre som Fremskrittspartiet har foreslått,bruke noe av de ekstra oljeinntektene til å redusere avgiften på bensin og diesel, slik at prisene i det minste komned på et normalt nivå. Men nei, også her står tydeligvisFremskrittspartiet alene.Jeg skal gå over til et annet og minst like viktig emne,nemlig presset i økonomien og sykehus. Jeg er i tvil ompartiene i salen her, med Arbeiderpartiet og Høyre i spissen, ser spøkelse på høylys dag – eller om de driver etkynisk spill for å unngå at det brukes penger på et godthelsetilbud i dag, slik at de kan spare penger til sin egenalderdom.Norge er et av verdens rikeste land, men når det kommer til å bruke penger på å gi dem som trenger det, etgodt helsetilbud ved å oppgradere sykehuset med nytt sykehusutstyr, skaper det altså ifølge de øvrige partiene idenne salen press i økonomien. Jeg trodde i min enfoldighet at det var det motsatte som skjedde hvis vi moderniserte sykehusene med nytt utstyr fra utlandet. For det ervel slik at hvis man skifter ut gammelt sykehusutstyr motnytt, går vedlikeholdskostnadene for sykehusene ned. Itillegg er det vel slik at nytt utstyr i stor grad fører til eneffektivisering i form av at nytt og moderne sykehusutstyr er lettere å betjene og derved frigjør ressurser vedsykehuset, ressurser som kan brukes til annen pasientbehandling.Dette viser at kjøp av nytt sykehusutstyr fra utlandetikke skaper press i norsk økonomi, snarere tvert imot letter det presset i økonomien fordi det frigjør arbeidskraftsom kan brukes til andre ting. Men dette er ikke et viktigemne for Fremskrittspartiet. Det som derimot er viktigfor Fremskrittspartiet, er å hjelpe de tusener som lider ihelsekø i dette rike landet, enkelt og greit ved å visemedmenneskelighet i praksis gjennom bevilgninger ogikke med fine ord i festtaler og løfter om at om to år skalalt bli så mye bedre. De som trenger hjelp for å kommeut av sykehuskøen, trenger hjelp i dag og ikke om to år,som statsminister Stoltenberg lover.Jeg kan ikke med min beste vilje forstå hvilken umenneskelig tankegang som gjør seg gjeldende når partier idenne salen får seg til å skylde på press i økonomien forå unngå å bevilge penger til sykehusene, når man vet at200016. juni – Revidert nasjonalbudsjett m.m.3817bl.a. Kirkenes sykehus er tvunget til å si opp 30 ansatte,Rikshospitalet i Tromsø sier ifra om at de må si opp personell, og flere og flere sykehus rundt omkring i landetkutter i behandlingstilbudet.Jeg var nede i gaten på Fauske på lørdag og snakketmed noen eldre som stod ved et gatehjørne der. Beskjeden fra dem var klar: Stopp med å pumpe opp olje fraNordsjøen, for vi har ikke råd til å bli rikere nå, for jo rikere vi blir i dette landet, jo mindre råd har vi. Disse personene hadde et godt poeng",2000
"138",2000-06-16,1997,549,"Kjell Magne Bondevik ","KrF","Norsk økonomi er ihovedtrekkene sterk og sunn. Det gledeligste av alt er atvi har lav arbeidsledighet og høy sysselsetting. Men deter faresignaler. Det er sterke presstendenser i norsk økonomi, og det ligger en truende økt prisstigning på lur. Etvarsel om presstendensene og i seg selv et uheldig tiltaker jo at vi nå igjen har fått en ny renteøkning. Dette legger også et ansvar på oss som utformer finanspolitikken,altså regjering og storting. Vi må derfor holde igjen påbevilgninger også til gode formål. Jeg er glad for at vi i Stortinget i dag på tross av dettemakter å tilgodese viktige formål bedre enn Regjeringensforslag til revidert nasjonalbudsjett gjorde, men innenforde samme ansvarlige rammene. Sentrumspartiene og Kristelig Folkeparti får gjennomslag for flere viktige saker innenfor våre politiskehovedprioriteringer. Det gjelder – arbeidet for økt sysselsetting, bl.a. ved en aktiv næringspolitikk og ved å tilbakevise næringsuheldige forslag, som f.eks. å kutte refusjonsordningen for sjøfolk – en sterkere innsats innenfor helsepolitikken, særlig isykehussektoren, hvor vi i Stortinget har måttet forsterke Regjeringens forslag – en mer aktiv distriktspolitikk, bl.a. ved sterkere innsatspå samferdselssektoren og gjennom SND enn det Regjeringen foreslo – en aktiv familiepolitikk, bl.a. ved at en har avvist nedskjæringsforslag i støtteordningene som Regjeringenkom med – en mer offensiv miljøpolitikk – innsatsen etter Stortingets behandling i dag vil være større enn Regjeringensforslag, og – økte ressurser til politietaten ved at ferdigutdannedepolitihøyskolestudenter skal få jobbRevisjonen av 2000-budsjettet blir vedtatt med vekslende flertall. Det er nokså vanlig, som også komitelederen sa, og egentlig en grei ordning. Sluttresultatet blirogså ansvarlig. Men det er ikke bare i budsjettpolitikkenarbeiderpartiregjeringen søker vekslende støtte. Det harjo nå blitt Arbeiderpartiets hovedlinje. I viktige saker vihar drøftet de siste dagene, f.eks. i kommuneøkonomien,i jordbruksoppgjøret og i gasskraftverksaken, får Arbeiderpartiet støtten fra Høyre. Vi fra sentrumspartiene har alltid sagt, også da vi var iregjering, at vekslende støtte fra ulike partier på begge sider i norsk politikk, er en grei linje og kan gi et bra ogansvarlig sluttresultat. Men Arbeiderpartiet har inntil idag ment noe helt annet. Da Arbeiderpartiet var i opposisjon, krevde de gjentatte ganger av sentrumsregjeringen at nå måtte vi velgeside. Det ville gi mangel på styring, og det ville betyvingling om vi ikke gjorde det. Vi måtte foreta et klart sidevalg. Men nå har jo Arbeiderpartiet slått inn på sammelinje, nemlig å hente vekslende støtte fra ulike partier. Igår stod kommunalminister Sylvia Brustad her og fremhevet det som veldig bra at arbeiderpartiregjeringen kunne hente støtte hos ulike partier, der den er å hente. HarArbeiderpartiet nå på tre måneder glemt fullstendig hvade sa i opposisjon om kravet om sidevalg? Er det som varså galt under den forrige regjering, nå plutselig blitt alldeles utmerket? Stiller Arbeiderpartiet andre krav til andre regjeringer og andre partier enn de gjør til seg selv?Voteringen her i Stortinget i kveld vil vise at arbeiderpartiregjeringen går på en rekke nederlag i revisjonen avstatsbudsjettet. Det er faktisk bra. Det blir nemlig en bedre budsjettrevisjon ut av dette. Men såkalt sidevalg blirdet ikke ut av det Arbeiderpartiet nå har gjort. Og uklarheten og usikkerheten blir jo enda større av at regjeringspartiet i tillegg åpenbart har store interne stridigheter. Vihar sett det i debatten om Statoil, om kommuneøkonomien og nå om EUs patentdirektiv. Sentrumspartiene har påvirket også denne revisjonenav budsjettet i betydelig grad . Det er vi glade for, for dablir revisjonen bedre.",2000
"139",2000-06-16,1997,3,"Presidenten","Stortinget","Det blir replikkordskifte",2000
"140",2000-06-16,1997,270,"Hill-Marta Solberg ","Ap","Da regjeringen Bondevikvar gått av i mars, ble den avgåtte statsministeren gjentatte ganger intervjuet i media og bl.a. stilt spørsmål omhvilken rolle han ville innta som opposisjonspolitiker.Bondeviks svar var i alle sammenhenger at han villevære en konstruktiv leder for sentrumsgruppen i opposisjon. Sist høst forhandlet Arbeiderpartiet og sentrumspartiene om statsbudsjettet for år 2000. Det ledet til enundertegnet avtale. Da regjeringen Stoltenberg i mars tok over makten,viste det seg at det var betydelige utgiftsøkninger på budsjettet for år 2000 – alle disse utgiftsøkningene vel kjentfor Bondevik, meget velkjent for den forhenværendestatsministeren, fordi dette var utgifter som hadde påløpt,de fleste av dem, i sentrumsregjeringens tid. Nå har vi sett i Stortinget at sentrum likevel har unndratt seg å forhandle med den nye regjeringen om revisjon av det samme budsjettet. De ønsket ikke å ha en avtale med Arbeiderpartiet om revideringen av det budsjettet vi sammen har stemt for for år 2000. Dette til tross erdet – hvilket er lett å påvise – meget små politiske forskjeller mellom det som blir vedtatt i salen i dag med Arbeiderpartiets stemmer, og det som sentrum står for vedsiden av. Det er meget små forskjeller. Så det er vanskelig å se noen reell politisk begrunnelse for at man ikkeønsket denne avtalen.Mitt spørsmål til representanten Bondevik blir da: Erdet egentlig slik at når sentrum ikke ønsket en avtale iforhandlinger med Arbeiderpartiet denne våren, så vardet fordi at hadde en avtale ligget på bordet i dag i revi381816. juni – Revidert nasjonalbudsjett m.m.2000dert, da hadde ikke representanten Bondevik kunnet drive den argumentasjonen mot Arbeiderpartiet som hannettopp gjorde i sitt innlegg for få minutter siden",2000
"141",2000-06-16,1997,284,"Kjell Magne Bondevik ","KrF","Spørsmålet var velegentlig om det var slik at sentrumspartiene ikke ønsketforhandlinger og en avtale om det reviderte nasjonalbudsjettet. Svaret på det er at vi hadde ikke noe ønske om åunngå en slik avtale hvis det hadde vært et saklig grunnlag for det. Men de innledende samtalene som ble ført,viste at avstanden var så stor at vi ikke så et grunnlag foren slik omfattende avtale i forbindelse med revidert nasjonalbudsjett, og at vi faktisk også så mulighetene for istørre grad å påvirke sluttresultatet ved at arbeiderpartiregjeringen måtte drive såkalt slalåmkjøring.Når vi nå ser sluttresultatet, er vi i grunnen blitt bestyrket i det. Det er riktig at sentrum nå har fått gjennomslag for veldig mange av sine forslag, både der vi setterinn en økt innsats, og ved inndekning. Det skyldes at Arbeiderpartiet til slutt har gått med på mange av våre forslag også på inndekningssiden. Jeg vil anta at Arbeiderpartiet følte seg tvunget til det for å få budsjettet i havnmed en ansvarlig balanse. Sluttresultatet har blitt ganskebra, selv om det er skuffende på noen punkt. Vi så ikke grunnlag for en omfattende avtale med Arbeiderpartiet om dette. Det er jo, som komiteleder DagTerje Andersen sa ved starten av debatten i dag, den heltvanlige måten å behandle revidert nasjonalbudsjett på.Skulle det ha vært en omfattende budsjettavtale mellomArbeiderpartiet og sentrumspartiene, ville det faktiskvært utenom det som er det vanlige, utenom hovedmønsteret.Sentrumsregjeringen måtte også ved de to revidertenasjonalbudsjett vi la fram, satse på såkalt slalåmkjøring,og vi kom i mål. Det er altså ikke uvanlig når arbeiderpartiregjeringen gjør det samme. Det viktige er sluttresultatet. Det synes vi nå har blitt rimelig bra, ikke minstfordi Arbeiderpartiet har gått med på så mange av sentrumspartienes forslag",2000
"142",2000-06-16,1997,235,"Carl I. Hagen ","FrP","Jeg har først et enkelt spørsmåltil Kjell Magne Bondevik. Det gjelder behovet for å dekke inn de såkalte økte utgifter. Det er jo de økte anslag påde regelstyrte utgifter i folketrygden som man hevderskal dekkes inn. Hvorfor synes ikke Kristelig Folkepartidet er helt forsvarlig og naturlig å dekke dem inn med endrede anslag på skatte- og avgiftsinntektene? Hvis manhadde satt det opp slik – jeg har tillatt meg å lage en korrekt budsjettabell, slik den skulle ha vært – ville det havært en netto økning i overskuddet på budsjettet med 2milliarder kr helt nøyaktig. Hvorfor i all verden brukerman ikke de uventede skatte- og avgiftsøkningene til ådekke inn de utgiftsøkninger som er kommet? Det er detene spørsmålet.Det andre spørsmålet går litt fremover – til høsten.Kjell Magne Bondevik er jo også statsministerkandidatfor de tre tidligere regjeringspartier ved neste års stortingsvalg. Da vil det være interessant å vite, basert på erfaringene fra vårsesjonen, hvorledes han ser på mulighetene for en budsjettavtale og forlik med arbeiderpartiregjeringen til høsten. Da nytter det som kjent ikke å kjøreslalåm, da må man ha en helhetsavtale som omfatter absolutt alt. Basert på det som har skjedd i vårsesjonen, erstatsministerkandidat Bondevik optimist når det gjelder åinngå en helhetlig budsjettavtale med regjeringen JensStoltenberg, som han så senere hen skal være et alternativ til? Hvorledes vurderer statsministerkandidaten mulighetene for til høsten å få til en bred budsjettavtale,enighet om alt i budsjettet, med regjeringen Jens Stoltenberg",2000
"143",2000-06-16,1997,284,"Kjell Magne Bondevik ","KrF","Vi får vel først gjøreunna vårens budsjettrevisjon før vi starter debatten omhøstens budsjett, som vi ennå ikke kjenner forslaget til.Men såpass mye må jeg vel kunne si etter det som harskjedd på tampen av denne vårsesjonen, at spesielt optimistisk med tanke på et eventuelt budsjettforlik mellomarbeiderpartiregjeringen og sentrum, er jeg ikke, ikkebare på grunn av det som har skjedd under behandlingenav revidert nasjonalbudsjett, men vi har også sett andreviktige saker hvor arbeiderpartiregjeringen har søkt støtte – og fått den – fra høyresiden og i stor grad fra Høyre.Det var jo også de to partiene som utløste regjeringskrisen i vår, så på en måte er ikke det så unaturlig.Jeg synes ikke det Arbeiderpartiet har gjort på tampenav vårsesjonen, har lagt noe spesielt godt grunnlag for etmulig budsjettsamarbeid mellom arbeiderpartiregjeringen og sentrum til høsten.Sentrumspartiene er ansvarlige partier, som opptrerkonstruktivt, som også søker innflytelse på politikken fraopposisjon, så jeg skal selvsagt ikke avskrive enhver mulighet til å finne løsninger, og et budsjett må landet ha.Men siden Hagen spurte: Spesielt optimistisk med tankepå at løsningene skal finnes med sentrum, er jeg for tidenikke.Når det så gjelder utgiftsveksten i folketrygden i forhold til skatter og avgifter, tror jeg ikke at en bare kan sepå folketrygdveksten i forhold til skatter og avgifter. Vimå se på det totale, både på budsjettets balanse, stramhetog utgiftsvekst. Det er en totalvurdering av faktorene ibudsjettet som gjør at vi har ment at en burde opprettholde om lag samme stramhet som det Regjeringen la opptil, og at man derfor ikke uten videre kunne bruke den automatiske skatte- og avgiftsveksten vi har fått, uten endringer av satser, direkte mot folketrygden, fordi det ogsåhar vært så mange andre utgifter som skulle dekkes inngjennom budsjettrevisjonen",2000
